Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
68,47,75,78,86,64,96,62,1,Communications,Medicine
45,53,70,52,100,65,58,73,1,Copywriting,Geographical Perspectives on Ecosystem Services
87,90,67,52,70,66,64,70,1,Astrophysics,GeoPhysics
87,59,91,67,81,81,96,61,1,Mathematical Biology,Ecology
72,63,86,50,58,71,78,46,1,Medicine,Mathematical Physics
79,82,100,56,98,46,82,94,1,Physics Education,Geographical Perspectives on Ecosystem Services
85,66,43,71,97,81,100,69,1,Math Journalism,Actuarial Science
73,52,99,77,94,47,78,50,1,Editing,Scientific Writing in Chemistry
44,76,75,60,43,89,64,75,1,Museum Curator,Government and Public Services
69,69,63,91,65,48,69,66,1,Organic Chemistry,Spatial Dynamics of Chemical Reactions
40,60,56,69,44,88,89,44,1,Financial Sector Regulatoins,Environmental History
89,84,45,70,48,62,42,55,1,Mathematical Physics,Bioinformatics
47,85,74,68,70,41,67,69,1,Physics Education,Sustainable Economics in Biology Conservation
82,95,65,100,49,59,93,59,1,Physics Education,Analytical Chemistry
46,95,70,46,50,78,61,65,1,Science Journalism,Historical Anthropology
81,76,56,81,88,98,73,60,1,Chemical Engineering,Science Education and Outreach
40,100,71,53,66,85,83,70,1,Experimental Physics,Historical Preservation and Cultural Heritage
71,97,63,81,66,51,90,65,1,Materials Science,Biotechnology and Economic Development
88,89,76,55,88,96,96,41,1,Translation,Historical Research and Writing
43,75,85,65,50,100,81,53,1,History of Science,Pharmacology
93,75,50,58,63,98,64,45,1,Mathematics,Research in Science and Technology Communication
43,98,81,77,79,100,49,71,1,Ecology,Microbiology
56,59,80,99,49,60,60,81,1,Geography of Chemical Waste Management,Molecular Biology
46,41,91,89,69,81,93,96,1,Emergency management and Disaster,Geography of Chemical Waste Management
87,94,90,90,82,79,96,48,1,Signal Processing Engineers,Computer Science
88,50,74,100,72,75,81,97,1,Spatial Dynamics of Chemical Reactions,Economics
78,66,41,77,54,45,86,70,1,Public Finance,Data Scientist
99,94,78,42,80,43,95,40,1,Theortical Physics,Sustainable Economics in Biology Conservation
97,59,77,83,80,48,70,90,1,Organic Chemistry,Geography of Chemical Waste Management
73,72,82,67,61,64,53,65,1,Anatomy,Conservation of Biodiversity Hotspots
70,82,96,91,94,90,99,85,1,Technical Writing,Lab Assistant
75,42,98,92,51,89,93,59,1,Archivist,Mathematics
85,87,74,100,86,58,72,85,1,Technical Writing,Transportation and Logistics
63,100,54,62,92,47,51,66,1,Publishing and Editing in Physics,English Language Skills for Economic Forecasting
67,79,49,48,72,42,69,48,0,Fail,Fail
71,93,79,97,49,71,41,78,1,Organic Chemistry,Materials Science
77,59,86,67,79,52,53,54,1,Biotechnology,Physiology
93,72,97,88,86,72,71,89,1,Chemistry Education and Curriculum Development,Creative Writing
74,97,98,65,80,79,66,77,1,Biotechnology,Editing
54,85,97,56,74,44,81,95,1,Microbiology,Molecular Biology
73,40,58,58,73,67,99,59,1,Macroeconomics,Business and Economic Journalism
44,70,93,88,93,66,100,86,1,Urban Planing and Regional Development,Economics of Biomedical Research and Development
98,92,55,47,71,100,75,49,1,Science Communication and Writing,Technical Writing
61,60,60,72,73,99,88,86,1,International Development,Emergency management and Disaster
75,66,57,84,73,95,54,94,1,Historical Preservation and Cultural Heritage,Computational Chemistry
61,45,96,67,59,44,100,72,1,Microbiology,Surveying and Geomatics
48,59,62,67,96,99,83,98,1,Global Financial Markets,Financial Sector Regulatoins
58,76,61,87,93,67,81,54,1,Microeconomics,Economic Policy
44,76,94,99,86,46,61,93,1,Geography of Chemical Waste Management,Technical Writing for Chemistry
52,51,54,94,77,66,64,58,1,Inorganic Chemistry,Science Writing
78,44,41,98,84,97,69,50,1,Scientific Writing in Chemistry,Computer Science
70,58,83,86,78,48,62,91,1,Lab Assistant,Epidemiology
95,93,78,79,63,99,61,73,1,Science Communication and Writing,Organic Chemistry
63,93,72,78,87,60,53,60,1,Astrophysics,Archaeology
54,57,92,65,91,89,66,74,1,Creative Writing,Historiography and Criticism
65,90,83,73,56,44,73,82,1,Plantery Science,Physical Chemistry
96,84,75,80,76,64,83,63,1,Public Finance,Organic Chemistry
