Math Grade,Physics Grade,Biology Grade,Chemistry Grade,English Grade,History Grade,Economy Grade,Geography Grade,is_sucess,Suggestion Based on Top 4 grades,Suggestion Based on Mean
72,48,44,61,54,71,92,98,1,Environmental Economics,English Language Skills for Economic Forecasting
53,59,74,100,86,87,87,65,1,Technical Writing,Cost-benefit Analysis in Chemical Projects
67,87,48,54,57,70,66,55,1,Experimental Physics,Econometrics
70,71,73,79,70,100,80,61,1,Government and Public Services,Archivist
80,75,86,44,75,41,81,94,1,International Development,Risk Manager
62,81,74,65,51,71,97,93,1,Econophysics,Operation Resarch
69,59,56,73,73,71,59,47,1,Organic Chemistry,Microeconomics
97,87,74,47,85,68,42,93,1,Translation,Experimental Physics
50,42,79,67,42,61,86,56,1,Macroeconomics,Biotechnology
94,44,55,74,60,99,90,91,1,Economic Policy Analysis,Chemistry and Scientific Revolution
69,74,77,41,46,82,40,83,1,Historical Geography,Metorology
94,90,77,53,78,51,79,98,1,Geospatial Techoology,Quantitative Analyst
89,71,51,53,70,73,99,44,1,Quantitative Analyst,Math Journalism
83,73,73,88,66,51,55,80,1,Chemical Engineering,Spatial Dynamics of Chemical Reactions
51,56,99,69,41,68,99,89,1,Microbiology,Biotechnology and Economic Development
63,79,65,82,96,63,51,70,1,Technical Writing for Chemistry,Data Reporting
76,68,96,71,74,53,84,82,1,Emergency management and Disaster,Biochemistry
89,67,85,93,60,76,82,49,1,Anatomy,Government and Public Services
65,82,40,46,99,90,61,59,1,Astrophysics,Econophysics
44,81,67,74,99,56,75,81,1,Physics Education,Environmental Economics
66,83,82,82,94,84,94,57,1,Chemical Supply Chain Management,Technical Writing for Chemistry
65,60,98,76,55,94,57,94,1,Tourism and Hospitality,Museum Curator
71,64,50,92,51,41,65,72,1,Inorganic Chemistry,Risk Manager
98,79,81,87,74,40,84,98,1,Chemistry and Resource Economics,Epidemiology
85,75,73,80,76,90,78,45,1,Museum Curator,Financial Services
81,65,90,94,77,74,50,81,1,Geographical Perspectives on Ecosystem Services,Experimental Physics
75,70,84,56,100,54,81,97,1,Biotechnology,Data Scientist
53,85,80,85,73,98,87,40,1,Sustainable Chemistry and Economic Development,Sustainable Economics in Biology Conservation
95,100,84,89,53,94,62,91,1,Organic Chemistry,Quantum Mechanics
49,99,48,61,98,40,75,63,1,Theortical Physics,Cultural Heritage Preservation
67,86,64,63,62,74,42,67,1,Experimental Physics,Organic Chemistry
52,71,76,54,40,58,67,57,0,Fail,Fail
61,48,75,85,80,78,92,63,1,Sustainable Chemistry and Economic Development,Lab Assistant
44,41,44,60,61,43,97,60,0,Fail,Fail
66,94,78,40,98,43,94,40,1,Writing and Editing,Sustainable Economics in Biology Conservation
75,62,84,77,53,78,59,76,1,Biotechnology,Archaeology
88,49,67,92,77,58,43,93,1,Emergency management and Disaster,Mathematical Archaeology
88,40,85,72,72,74,88,82,1,Economic Policy,Cultural Heritage Preservation
84,53,67,53,66,44,77,88,1,Geographic Information Systems,Data Reporting
55,56,76,65,73,50,59,93,1,Tourism and Hospitality,Climate Science
40,82,58,65,91,67,81,86,1,Transportation and Logistics,Education
59,71,45,63,56,90,41,86,1,Tourism and Hospitality,Climate Science
65,96,97,82,86,93,55,93,1,Academic Publishing,Pharmacology
72,92,96,75,63,77,78,74,1,Astrophysics,Cartography
94,98,99,44,85,62,70,48,1,Computational Biology,Economic Policy
100,76,69,60,93,61,59,79,1,Mathematics,Physics Content Creation
75,70,84,60,69,53,54,56,1,Ecology,Metorology
49,78,98,41,87,97,88,56,1,Financial Sector Regulatoins,Cultural Heritage Preservation
93,63,56,85,51,76,67,46,1,Analytical Chemistry,Economics of Biomedical Research and Development
48,40,99,97,54,59,57,76,1,Inorganic Chemistry,Education
77,67,83,58,67,49,69,90,1,Biotechnology,Risk Manager
82,50,77,93,91,100,48,87,1,Tourism and Hospitality,Scientific Writing in Chemistry
98,85,66,87,62,83,41,49,1,Economic History Research,Biophysics
58,78,92,47,84,48,88,89,1,Editing,Public Finance
72,47,69,62,55,44,64,78,1,Landscape Ecology and Biotic Interactions,Emergency management and Disaster
78,65,90,63,68,85,71,51,1,Environmental History,Biophysics
59,77,76,62,61,98,98,63,1,Museum Curator,Geography of Chemical Waste Management
54,48,55,61,79,53,51,99,1,Emergency management and Disaster,Digital Humanities
91,89,54,49,74,61,56,87,1,Geographic Information Systems,Quantum Mechanics
61,64,84,74,83,96,41,42,1,Medical History,Inorganic Chemistry
63,100,64,100,63,57,96,54,1,Chemical Market Forecasting and Analysis,Computational Biology
76,69,73,90,85,76,43,75,1,Copywriting,Tourism and Hospitality
54,79,82,43,44,46,70,83,1,Biotechnology,Science Education and Outreach
94,82,57,75,63,62,45,80,1,Quantum Mechanics,Journalism
49,96,98,64,42,87,85,40,1,Medicine,Data Scientist
51,50,44,77,49,48,81,79,0,Fail,Fail
98,48,74,59,86,57,43,48,1,Data Reporting,Historical Research and Writing
46,72,70,75,40,98,86,78,1,Economic Policy,Museum Curator
84,48,69,40,64,48,69,48,0,Fail,Fail
58,65,68,74,87,46,87,97,1,Transportation and Logistics,Publishing
80,97,69,85,80,60,83,47,1,Education,Bioinformatics
94,60,46,49,58,53,73,88,1,Transportation and Logistics,Spatial Dynamics of Chemical Reactions
82,95,55,48,88,96,49,91,1,Cultural Heritage Preservation,Data Scientist
62,97,47,100,43,91,86,100,1,Spatial Dynamics of Chemical Reactions,Quantum Chemistry
